Time,Temperature
1549308926,82.7
1549308927,82.7
1549308927,82.7
1549308928,82.7
1549308928,83.3
1549308929,82.2
1549308930,82.2
1549308930,82.2
1549308931,82.2
1549308931,82.7
1549308932,82.7
1549308932,82.7
1549308933,82.7
1549308933,82.7
1549308934,82.2
1549308934,82.2
1549308935,82.2
1549308935,82.7
1549308936,82.2
1549308936,82.2
1549308937,82.2
1549308937,82.7
1549308938,82.7
1549308938,82.7
1549308939,82.2
1549308939,82.7
1549308940,82.7
1549308940,82.7
1549308941,82.2
1549308941,82.7
1549308942,82.7
1549308942,82.7
1549308943,82.2
1549308943,82.7
1549308944,82.7
1549308944,82.2
1549308945,82.7
1549308945,82.7
1549308946,82.2
1549308946,82.2
1549308947,82.2
1549308947,82.2
1549308948,82.7
1549308948,82.2
1549308949,82.2
1549308949,82.7
1549308950,82.7
1549308950,81.7
1549308951,82.7
1549308951,82.2
1549308952,82.7
1549308952,82.2
1549308953,82.7
1549308953,82.7
1549308954,82.2
1549308954,82.7
1549308955,82.2
1549308955,82.7
1549308956,82.2
1549308956,82.2
1549308957,82.2
1549308958,82.2
1549308958,82.7
1549308959,82.2
1549308959,82.2
1549308960,82.2
1549308960,82.2
1549308961,82.2
1549308961,82.2
1549308962,81.7
1549308962,82.2
1549308963,82.7
1549308963,82.2
1549308964,82.7
1549308964,81.7
1549308965,82.2
1549308965,81.7
1549308966,82.2
1549308966,82.2
1549308967,82.2
1549308967,81.7
1549308968,82.7
1549308968,82.2
1549308969,82.2
1549308969,82.2
1549308970,82.7
1549308970,82.7
1549308971,82.7
1549308971,82.7
1549308972,82.2
1549308972,82.7
1549308973,82.7
1549308973,82.7
1549308974,82.7
1549308974,82.7
1549308975,82.7
1549308975,82.7
1549308976,82.2
1549308976,82.2
1549308977,82.7
1549308977,82.7
1549308978,82.7
1549308978,82.7
1549308979,82.7
1549308979,82.2
1549308980,82.2
1549308980,82.7
1549308981,82.7
1549308981,82.7
1549308982,82.7
1549308982,82.2
1549308983,82.7
1549308984,82.7
